Dat,Site Name,Status,Priority,Severity,Screen Status,State,Case status,Type,Category,Reported Issue,Resolution,Queue Name,Region,Market,Creation Time,Last Update Time,Resolution time
1880248,Major Cineplex Bangkok,Under Review,Major,High (Major),DOWN,Japan,Under Review,Email Request,Qalif,Network Connectivity Issue,Pending Resolution,APAC Issues,APAC,Market-Japan,8/25/2025 13:31,8/25/2025 13:31,0
1880249,KNCC Cinescape Avenues,Under Review,Informational,Low (Minor),UP,England,Under Review,Email Request,Dolby Corridor,Hardware Issues,Network Configuration Fixed,EMEA Issues,EMEA,Market-Netherlands-CN-CDS-VG,1/16/2025 13:31,1/17/2025 13:31,1
1880250,Odeon Leicester Square,Solving,Minor,Low (Minor),UP,Netherlands,Solving,Email Request,Dolby Corridor,Color Calibration Required,Network Configuration Fixed,EMEA Issues,EMEA,Market-Netherlands-CN-CDS-VG,8/25/2025 13:31,8/25/2025 13:31,0
1880251,Cinemark Playa Vista,Solving,Major,Medium (Major),UP,NJ,Solving,Web Support,Projector,IMPROPER AUDIO LEVEL,Power cycled / Reboot Server,Customer Managed,Americas,Market-SAD,10/27/2025 13:31,10/28/2025 13:31,1
1880252,Vue Hilversum,Solving,Major,High (Major),DOWN,Kuwait,Solving,Email Request,Network,INTERMITTENT AUDIO,Adjusted Settings,EMEA Issues,EMEA,Market-France-ADDE-CDS,12/26/2024 13:31,12/26/2024 13:31,0
1880253,Lotte Cinema Seoul,Solving,Major,High (Major),UP,Japan,Solving,Web Support,Automation,Auditorium Lighting Issue,Replaced Qalif,APAC Dispatched,APAC,Market-Korea,8/22/2025 13:31,8/22/2025 13:31,0
1880254,Lotte Cinema Seoul,Resolved,Major,High (Major),UP,Korea,Resolved,Web Support,Qalif,Application Not Responding,Firmware Updated,APAC Dispatched,APAC,Market-Korea,1/12/2025 13:31,1/12/2025 13:31,0
1880255,Regal LA Live,Solving,Minor,Medium (Minor),UP,NJ,Solving,Email Request,Projector,PLAYBACK STOPPED UNEXPECTEDLY,Network Configuration Fixed,CSE Dispatched,Americas,Market-LA,2/22/2025 13:31,2/22/2025 13:31,0
1880256,Odeon Thorpe Park,Under Review,Minor,Medium (Minor),UP,Germany,Under Review,Web Support,Facility,Application Not Responding,Recalibrated System,Future Work,EMEA,Market-UK-CDS-VUK-CDS,4/18/2025 13:31,4/18/2025 13:31,0
1880257,Dolby Headquarters 1,Solving,Critical,High (Critical),UP,TX,Solving,Email Request,Qalif,UPS Issue,Pending Resolution,EM3 Issues,Americas,Market-SAD,4/1/2025 13:31,4/1/2025 13:31,0
1880258,Vue London Leicester Square,Solving,Major,High (Major),UP,England,Solving,Email Request,Screen / Masking,INTERMITTENT AUDIO,Hardware Replaced,EMEA Dispatched,EMEA,Market-Saudi Arabia,5/6/2025 13:31,5/6/2025 13:31,0
1880259,Wanda XiAn Gaoxin,Under Review,Major,Medium (Major),DOWN,Japan,Under Review,Web Support,Automation,TPC Display Issue,Replaced Component,APAC Dispatched,APAC,Market-China-CGV,10/1/2025 13:31,10/2/2025 13:31,1
1880260,Wanda XiAn Gaoxin,Under Review,Minor,Medium (Minor),UP,Japan,Under Review,Web Support,Dolby Corridor,PLAYBACK STOPPED UNEXPECTEDLY,Replaced Qalif,APAC Dispatched,APAC,Market-Singapore,6/16/2025 13:31,6/16/2025 13:31,0
1880261,KNCC Cinescape Avenues,Solving,Critical,High (Critical),UP,Netherlands,Solving,Email Request,Facility,Application Not Responding,Replaced UPS Batteries,Future Work,EMEA,Market-Germany,5/27/2025 13:31,5/31/2025 13:31,4
1880262,Dolby Burbank Umlang,Under Review,Minor,Low (Minor),UP,NJ,Under Review,Email Request,Dolby Corridor,Content Update Request,Replaced Qalif,3rd Party Issues,Americas,Market-CA,4/29/2025 13:31,4/29/2025 13:31,0
1880263,Dolby Burbank Umlang,Solving,Minor,Low (Minor),UP,NJ,Solving,Email Request,Audio,INTERMITTENT AUDIO,Software Update Applied,CSE Dispatched,Americas,Market-COLOH,6/13/2025 13:31,6/13/2025 13:31,0
1880264,Cineworld Birmingham,Resolved,Major,High (Major),UP,Netherlands,Resolved,Email Request,Dolby Corridor,Booth Audio Monitor Issue,Replaced Qalif,Future Work,EMEA,Market-France-ADDE-CDS,5/17/2025 13:31,5/19/2025 13:31,2
1880265,Major Cineplex Bangkok,Under Review,Minor,Low (Minor),DOWN,Korea,Under Review,Email Request,Network,IMAGE GEOMETRY/ALIGNMENT ISSUE,Hardware Replaced,APAC Issues,APAC,Market-Thailand,3/3/2025 13:31,3/3/2025 13:31,0
1880266,Odeon Thorpe Park,Closed,Minor,Medium (Minor),UP,Germany,Closed,Email Request,Projector,PLAYBACK STOPPED UNEXPECTEDLY,Replaced Component,EMEA Dispatched,EMEA,Market-Saudi Arabia,6/29/2025 13:31,6/30/2025 13:31,1
1880267,Cinemark Century City,Solving,Minor,Medium (Minor),UP,KY,Solving,Email Request,Qalif,Application Not Responding,Replaced Qalif,Customer Managed,Americas,Market-CA,6/24/2025 13:31,6/24/2025 13:31,0
1880268,Cinemark Century City,Resolved,Informational,Low (Minor),UP,NY,Resolved,Email Request,Qalif,CAN NOT POWER-UP COMPONENT,Replaced UPS Batteries,3rd Party Issues,Americas,Market-SAF,3/3/2025 13:31,3/3/2025 13:31,0
1880269,Regal LA Live,Solving,Major,High (Major),UP,TX,Solving,Email Request,Screen / Masking,Auditorium Lighting Issue,Replaced Component,3rd Party Issues,Americas,Market-COLOH,10/5/2025 13:31,10/5/2025 13:31,0
1880270,Odeon Thorpe Park,Closed,Major,High (Major),UP,Netherlands,Closed,Email Request,Network,Network Connectivity Issue,Hardware Replaced,EMEA Issues,EMEA,Market-France-ADDE-CDS,2/17/2025 13:31,2/17/2025 13:31,0
1880271,AMC Lincoln Square 13 - 2310,Solving,Informational,Low (Minor),UP,KY,Solving,Email Request,Qalif,Color Calibration Required,Replaced UPS Batteries,EM3 Issues,Americas,Market-SAF,7/21/2025 13:31,7/21/2025 13:31,0
1880272,CGV Seoul Gangnam,Solving,Major,Medium (Major),UP,Korea,Solving,Web Support,Audio,Booth Temperature Issue,Recalibrated System,APAC Dispatched,APAC,Market-Hong Kong,8/12/2025 13:31,8/14/2025 13:31,2
1880273,Wanda Chengdu Wuhou,Closed,Minor,Medium (Minor),UP,Thailand,Closed,Email Request,Network,Booth Audio Monitor Issue,Software Update Applied,APAC Issues,APAC,Market-Singapore,3/22/2025 13:31,3/22/2025 13:31,0
1880274,AMC Lincoln Square 13 - 2310,Solving,Major,Medium (Major),UP,TN,Solving,Web Support,Projector,Hardware Issues,Software Update Applied,Customer Managed,Americas,Market-SAF,1/20/2025 13:31,1/20/2025 13:31,0
1880275,Wanda Chengdu Wuhou,Resolved,Major,Medium (Major),UP,Singapore,Resolved,Email Request,Screen / Masking,NO IMAGE,Software Update Applied,APAC Dispatched,APAC,Market-China-CGV,8/22/2025 13:31,8/24/2025 13:31,2
1880276,Cinemark Century City,Under Review,Major,High (Major),UP,NY,Under Review,Email Request,Screen / Masking,IMAGE DISCOLORATION,Pending Resolution,Customer Managed,Americas,Market-NSH,7/22/2025 13:31,7/23/2025 13:31,1
1880277,Wanda Jiaxing,Under Review,Major,High (Major),UP,Korea,Under Review,Web Support,Automation,Auditorium Lighting Issue,Pending Resolution,APAC Dispatched,APAC,Market-Korea,2/26/2025 13:31,2/26/2025 13:31,0
1880278,Wanda XiAn Gaoxin,Closed,Informational,Low (Minor),UP,Japan,Closed,Email Request,Screen / Masking,IMPROPER AUDIO LEVEL,Hardware Replaced,APAC Issues,APAC,Market-Korea,11/24/2025 13:31,11/27/2025 13:31,3
1880279,AMC Empire 25 - 0552,Closed,Minor,Low (Minor),UP,NY,Closed,Email Request,Dolby Corridor,Booth Temperature Issue,Hardware Replaced,CSE Dispatched,Americas,Market-COLOH,8/2/2025 13:31,8/2/2025 13:31,0
1880280,Odeon Thorpe Park,Resolved,Major,High (Major),UP,France,Resolved,Web Support,Projector,Software Not Responding,Pending Resolution,Future Work,EMEA,Market-UK-CDS-VUK-CDS,7/9/2025 13:31,7/9/2025 13:31,0
1880281,Cinemark Playa Vista,Solving,Informational,Low (Minor),UP,NJ,Solving,Web Support,Facility,Content Update Request,Replaced Qalif,Customer Managed,Americas,Market-NY,2/26/2025 13:31,2/28/2025 13:31,2
1880282,SF Cinema Tokyo,Resolved,Minor,Medium (Minor),UP,Korea,Resolved,Email Request,Dolby Corridor,Content Update Request,Software Update Applied,APAC Dispatched,APAC,Market-Singapore,1/25/2025 13:31,1/25/2025 13:31,0
1880283,CGV Beijing Wanda,Under Review,Major,High (Major),UP,Singapore,Under Review,Web Support,Qalif,Hardware Issues,Power cycled / Reboot Server,APAC Dispatched,APAC,Market-Japan,4/22/2025 13:31,4/23/2025 13:31,1
1880284,AMC Jersey Gardens 20 - 2198,Under Review,Minor,Low (Minor),UP,OH,Under Review,Email Request,Screen / Masking,NO IMAGE,Recalibrated System,EM3 Issues,Americas,Market-CA,2/3/2025 13:31,2/3/2025 13:31,0
1880285,Kinopolis Munich,Closed,Critical,High (Critical),UP,Kuwait,Closed,Email Request,Qalif,TPC Display Issue,Firmware Updated,Future Work,EMEA,Market-UK-CDS-VUK-CDS,3/21/2025 13:31,3/21/2025 13:31,0
1880286,Wanda Shanghai Darongcheng,Closed,Minor,Medium (Minor),UP,Japan,Closed,Email Request,Screen / Masking,Application Not Responding,Pending Resolution,APAC Issues,APAC,Market-Korea,6/4/2025 13:31,6/4/2025 13:31,0
1880287,Vue Hilversum,Resolved,Major,High (Major),UP,France,Resolved,Email Request,Audio,NO IMAGE,Network Configuration Fixed,EMEA Issues,EMEA,Market-Kuwait,8/2/2025 13:31,8/2/2025 13:31,0
1880288,CGV Shanghai Fudi,Solving,Major,High (Major),UP,China,Solving,Email Request,Projector,Hardware Issues,Software Update Applied,APAC Issues,APAC,Market-Hong Kong,4/13/2025 13:31,4/13/2025 13:31,0
1880289,Pathe Belle Epine - Thiais,Under Review,Major,High (Major),UP,Netherlands,Under Review,Web Support,Dolby Corridor,IMPROPER AUDIO LEVEL,Replaced UPS Batteries,Future Work,EMEA,Market-France-ADDE-CDS,4/3/2025 13:31,4/3/2025 13:31,0
1880290,Odeon Leicester Square,Resolved,Minor,Medium (Minor),UP,Netherlands,Resolved,Email Request,Automation,Disk Capacity Warning,Network Configuration Fixed,EMEA Issues,EMEA,Market-Netherlands-CN-CDS-VG,4/20/2025 13:31,4/20/2025 13:31,0
1880291,Cinemark Playa Vista,Closed,Major,Medium (Major),UP,OH,Closed,Email Request,Automation,IMAGE GEOMETRY/ALIGNMENT ISSUE,Hardware Replaced,3rd Party Issues,Americas,Market-NSH,8/7/2025 13:31,8/8/2025 13:31,1
1880292,Pathe Massy,Solving,Minor,Low (Minor),UP,Netherlands,Solving,Email Request,Network,Software Not Responding,Pending Resolution,EMEA Issues,EMEA,Market-UK-CDS-VUK-CDS,9/9/2025 13:31,9/9/2025 13:31,0
1880293,AMC Mission Valley 20 - 0246,Solving,Major,Medium (Major),UP,NJ,Solving,Web Support,Qalif,Booth Temperature Issue,Recalibrated System,Customer Managed,Americas,Market-COLOH,9/29/2025 13:31,10/6/2025 13:31,7
1880294,Pathe Massy,Solving,Major,High (Major),UP,Netherlands,Solving,Email Request,Audio,INTERMITTENT AUDIO,Pending Resolution,EMEA Issues,EMEA,Market-UK-CDS-VUK-CDS,11/7/2025 13:31,11/7/2025 13:31,0
1880295,Dolby Headquarters 1,Solving,Major,High (Major),UP,NY,Solving,Web Support,Network,Screen Shaker Vibration,Hardware Replaced,Customer Managed,Americas,Market-SAD,2/11/2025 13:31,2/11/2025 13:31,0
1880296,AMC Newport On The Levee 20 - 0665,Under Review,Major,Medium (Major),UP,TX,Under Review,Email Request,Network,Application Not Responding,Adjusted Settings,CSE Dispatched,Americas,Market-CA,3/12/2025 13:31,3/12/2025 13:31,0
1880297,Wanda XiAn Gaoxin,Solving,Major,High (Major),DOWN,Singapore,Solving,Phone Call,Audio,Application Not Responding,Power cycled / Reboot Server,APAC Dispatched,APAC,Market-Japan,7/3/2025 13:31,7/3/2025 13:31,0
1880298,Wanda Jiaxing,Solving,Major,High (Major),UP,Thailand,Solving,Email Request,Network,TPC Display Issue,Adjusted Settings,APAC Issues,APAC,Market-Singapore,8/22/2025 13:31,8/22/2025 13:31,0
1880299,SF Cinema Tokyo,Solving,Minor,Low (Minor),UP,Japan,Solving,Web Support,Network,INTERMITTENT AUDIO,Adjusted Settings,APAC Issues,APAC,Market-Hong Kong,4/26/2025 13:31,4/26/2025 13:31,0
1880300,AMC Mission Valley 20 - 0246,Solving,Major,Medium (Major),UP,NJ,Solving,Web Support,Projector,IMAGE DISCOLORATION,Hardware Replaced,3rd Party Issues,Americas,Market-COLOH,2/20/2025 13:31,2/20/2025 13:31,0
1880301,Wanda Jiaxing,Under Review,Major,High (Major),UP,China,Under Review,Web Support,Audio,TPC Display Issue,Network Configuration Fixed,APAC Dispatched,APAC,Market-Hong Kong,11/1/2025 13:31,11/1/2025 13:31,0
1880302,Odeon Thorpe Park,Solving,Major,Medium (Major),UP,Germany,Solving,Email Request,Projector,Laser Module Driver Warning,Firmware Updated,EMEA Dispatched,EMEA,Market-UK-CDS-VUK-CDS,5/23/2025 13:31,5/23/2025 13:31,0
1880303,Pathe Rouen Docks 76,Resolved,Major,High (Major),UP,Kuwait,Resolved,Email Request,Qalif,Laser Module Driver Warning,Network Configuration Fixed,Future Work,EMEA,Market-Netherlands-CN-CDS-VG,9/8/2025 13:31,9/8/2025 13:31,0
1880304,Wanda Chengdu Wuhou,Solving,Critical,High (Critical),UP,Japan,Solving,Web Support,Dolby Corridor,Screen Shaker Vibration,Recalibrated System,APAC Dispatched,APAC,Market-Thailand,9/11/2025 13:31,9/11/2025 13:31,0
1880305,Wanda Chengdu Wuhou,Resolved,Critical,High (Critical),UP,Thailand,Resolved,Web Support,Qalif,INTERMITTENT AUDIO,Adjusted Settings,APAC Issues,APAC,Market-Thailand,11/5/2025 13:31,11/5/2025 13:31,0
1880306,Dolby Burbank Umlang,Solving,Major,High (Major),UP,NY,Solving,Email Request,Network,UPS Issue,Replaced UPS Batteries,3rd Party Issues,Americas,Market-NSH,7/8/2025 13:31,7/8/2025 13:31,0
1880307,Wanda Shanghai Darongcheng,Solving,Major,Medium (Major),UP,Japan,Solving,Email Request,Facility,Auditorium Lighting Issue,Firmware Updated,APAC Dispatched,APAC,Market-Singapore,10/7/2025 13:31,10/7/2025 13:31,0
1880308,Odeon Thorpe Park,Under Review,Critical,High (Critical),UP,Kuwait,Under Review,Email Request,Audio,Booth Audio Monitor Issue,Network Configuration Fixed,Future Work,EMEA,Market-Saudi Arabia,5/21/2025 13:31,5/21/2025 13:31,0
1880309,Odeon Leicester Square,Under Review,Major,High (Major),UP,France,Under Review,Email Request,Network,TPC Display Issue,Hardware Replaced,EMEA Issues,EMEA,Market-UK-CDS-VUK-CDS,8/30/2025 13:31,9/1/2025 13:31,2
1880310,AMC Dine-In Thoroughbred 20 - 4457,Resolved,Critical,High (Critical),UP,OH,Resolved,Email Request,Screen / Masking,IMAGE GEOMETRY/ALIGNMENT ISSUE,Replaced UPS Batteries,3rd Party Issues,Americas,Market-NJ,11/7/2025 13:31,11/7/2025 13:31,0
1880311,Wanda XiAn Gaoxin,Resolved,Minor,Medium (Minor),UP,Japan,Resolved,Email Request,Audio,Screen Shaker Vibration,Replaced Component,APAC Dispatched,APAC,Market-Korea,6/13/2025 13:31,6/13/2025 13:31,0
1880312,SF Cinema Tokyo,Closed,Major,High (Major),UP,Korea,Closed,Email Request,Facility,Application Not Responding,Software Update Applied,APAC Issues,APAC,Market-Hong Kong,1/8/2025 13:31,1/8/2025 13:31,0
1880313,Pathe Massy,Solving,Minor,Low (Minor),UP,Kuwait,Solving,Email Request,Audio,IMAGE GEOMETRY/ALIGNMENT ISSUE,Power cycled / Reboot Server,EMEA Dispatched,EMEA,Market-Kuwait,6/20/2025 13:31,6/20/2025 13:31,0
1880314,AMC Lincoln Square 13 - 2310,Resolved,Major,High (Major),UP,TN,Resolved,Email Request,Facility,Hardware Issues,Replaced Component,EM3 Issues,Americas,Market-NJ,10/21/2025 13:31,10/22/2025 13:31,1
1880315,AMC Newport On The Levee 20 - 0665,Resolved,Informational,Low (Minor),UP,CA,Resolved,Web Support,Automation,UPS Issue,Software Update Applied,Customer Managed,Americas,Market-COLOH,7/26/2025 13:31,7/26/2025 13:31,0
1880316,Wanda Jiaxing,Solving,Major,Medium (Major),UP,Singapore,Solving,Email Request,Dolby Corridor,TPC Display Issue,Hardware Replaced,APAC Dispatched,APAC,Market-Hong Kong,8/14/2025 13:31,8/14/2025 13:31,0
1880317,Lotte Cinema Seoul,Solving,Major,High (Major),UP,Thailand,Solving,Phone Call,Screen / Masking,Hardware Issues,Firmware Updated,APAC Issues,APAC,Market-China-CGV,8/23/2025 13:31,8/23/2025 13:31,0
1880318,KNCC Cinescape Avenues,Solving,Major,Medium (Major),UP,Kuwait,Solving,Email Request,Screen / Masking,Disk Capacity Warning,Software Update Applied,Future Work,EMEA,Market-Germany,10/11/2025 13:31,10/13/2025 13:31,2
1880319,Pathe Nice Gare Du Sud,Solving,Major,Medium (Major),DOWN,Germany,Solving,Email Request,Projector,NO IMAGE,Power cycled / Reboot Server,EMEA Issues,EMEA,Market-Germany,5/6/2025 13:31,5/7/2025 13:31,1
1880320,Odeon Thorpe Park,Resolved,Major,Medium (Major),UP,Germany,Resolved,Web Support,Dolby Corridor,Auditorium Lighting Issue,Replaced UPS Batteries,EMEA Issues,EMEA,Market-Netherlands-CN-CDS-VG,2/1/2025 13:31,2/1/2025 13:31,0
1880321,Vue London Leicester Square,Solving,Major,Medium (Major),UP,Netherlands,Solving,Web Support,Screen / Masking,IMAGE DISCOLORATION,Hardware Replaced,EMEA Dispatched,EMEA,Market-UK-CDS-VUK-CDS,11/15/2025 13:31,11/19/2025 13:31,4
1880322,Lotte Cinema Seoul,Resolved,Major,High (Major),UP,Singapore,Resolved,Web Support,Network,CAN NOT POWER-UP COMPONENT,Replaced Qalif,APAC Dispatched,APAC,Market-Japan,1/13/2025 13:31,1/13/2025 13:31,0
1880323,Dolby Headquarters 1,Resolved,Major,Medium (Major),DOWN,KY,Resolved,Web Support,Network,IMPROPER AUDIO LEVEL,Firmware Updated,CSE Dispatched,Americas,Market-CA,8/2/2025 13:31,8/4/2025 13:31,2
1880324,Cineworld Birmingham,Resolved,Major,High (Major),DOWN,Germany,Resolved,Email Request,Automation,Color Calibration Required,Firmware Updated,EMEA Dispatched,EMEA,Market-Netherlands-CN-CDS-VG,3/1/2025 13:31,3/1/2025 13:31,0
1880325,Major Cineplex Bangkok,Solving,Major,High (Major),UP,China,Solving,Email Request,Audio,Software Not Responding,Replaced UPS Batteries,APAC Dispatched,APAC,Market-China-CGV,1/10/2025 13:31,1/11/2025 13:31,1
1880326,Regal LA Live,Under Review,Informational,Low (Minor),UP,NY,Under Review,Email Request,Network,UPS Issue,Software Update Applied,Customer Managed,Americas,Market-NSH,11/22/2025 13:31,11/22/2025 13:31,0
1880327,Dolby Burbank Umlang,Solving,Major,High (Major),UP,TN,Solving,Email Request,Dolby Corridor,Content Update Request,Adjusted Settings,3rd Party Issues,Americas,Market-COLOH,1/31/2025 13:31,1/31/2025 13:31,0
1880328,Muvi Mall of Dhahran,Solving,Major,High (Major),UP,Netherlands,Solving,Email Request,Automation,Hardware Issues,Pending Resolution,Future Work,EMEA,Market-Netherlands-CN-CDS-VG,5/7/2025 13:31,5/9/2025 13:31,2
1880329,Dolby Headquarters 1,Solving,Major,Medium (Major),DOWN,CA,Solving,Email Request,Audio,IMPROPER AUDIO LEVEL,Software Update Applied,3rd Party Issues,Americas,Market-COLOH,6/27/2025 13:31,6/28/2025 13:31,1
1880330,Odeon Leicester Square,Under Review,Informational,Low (Minor),UP,France,Under Review,Email Request,Automation,Disk Capacity Warning,Firmware Updated,EMEA Dispatched,EMEA,Market-UK-CDS-VUK-CDS,5/30/2025 13:31,5/30/2025 13:31,0
1880331,Major Cineplex Bangkok,Solving,Major,High (Major),UP,Thailand,Solving,Phone Call,Automation,Color Calibration Required,Adjusted Settings,APAC Issues,APAC,Market-Thailand,8/20/2025 13:31,8/20/2025 13:31,0
1880332,AMC Newport On The Levee 20 - 0665,Resolved,Minor,Low (Minor),UP,TN,Resolved,Email Request,Network,TPC Display Issue,Hardware Replaced,EM3 Issues,Americas,Market-CA,6/29/2025 13:31,6/29/2025 13:31,0
1880333,Wanda Chengdu Wuhou,Resolved,Major,High (Major),UP,Korea,Resolved,Email Request,Dolby Corridor,Software Not Responding,Power cycled / Reboot Server,APAC Issues,APAC,Market-Singapore,10/28/2025 13:31,10/28/2025 13:31,0
1880334,Pathe Rouen Docks 76,Solving,Major,Medium (Major),DOWN,England,Solving,Email Request,Automation,Content Update Request,Replaced UPS Batteries,Future Work,EMEA,Market-Kuwait,11/17/2025 13:31,11/18/2025 13:31,1
1880335,KNCC Cinescape Avenues,Solving,Critical,High (Critical),UP,France,Solving,Phone Call,Projector,Hardware Issues,Pending Resolution,EMEA Dispatched,EMEA,Market-Germany,8/8/2025 13:31,8/8/2025 13:31,0
1880336,Vue Eindhoven,Closed,Informational,Low (Minor),UP,France,Closed,Email Request,Qalif,Color Calibration Required,Software Update Applied,Future Work,EMEA,Market-Netherlands-CN-CDS-VG,8/26/2025 13:31,8/28/2025 13:31,2
1880337,Cineworld Birmingham,Under Review,Critical,High (Critical),UP,France,Under Review,Email Request,Screen / Masking,CAN NOT POWER-UP COMPONENT,Software Update Applied,Future Work,EMEA,Market-Netherlands-CN-CDS-VG,3/2/2025 13:31,3/2/2025 13:31,0
1880338,Wanda Changsha,Under Review,Major,High (Major),UP,Korea,Under Review,Email Request,Automation,Software Not Responding,Replaced Component,APAC Issues,APAC,Market-Thailand,1/21/2025 13:31,1/22/2025 13:31,1
1880339,Muvi Mall of Dhahran,Resolved,Major,Medium (Major),UP,Netherlands,Resolved,Email Request,Qalif,IMAGE GEOMETRY/ALIGNMENT ISSUE,Power cycled / Reboot Server,Future Work,EMEA,Market-Saudi Arabia,7/23/2025 13:31,7/23/2025 13:31,0
1880340,SF Cinema Tokyo,Solving,Major,High (Major),UP,Singapore,Solving,Phone Call,Network,Application Not Responding,Power cycled / Reboot Server,APAC Dispatched,APAC,Market-Japan,9/2/2025 13:31,9/3/2025 13:31,1
1880341,AMC Empire 25 - 0552,Solving,Minor,Low (Minor),UP,KY,Solving,Phone Call,Audio,Software Not Responding,Pending Resolution,CSE Dispatched,Americas,Market-COLOH,1/29/2025 13:31,1/29/2025 13:31,0
1880342,Wanda XiAn Gaoxin,Resolved,Major,Medium (Major),UP,Singapore,Resolved,Email Request,Screen / Masking,Booth Audio Monitor Issue,Replaced UPS Batteries,APAC Issues,APAC,Market-Japan,1/29/2025 13:31,1/29/2025 13:31,0
1880343,Pathe Belle Epine - Thiais,Solving,Major,Medium (Major),UP,England,Solving,Email Request,Audio,Booth Audio Monitor Issue,Software Update Applied,Future Work,EMEA,Market-Kuwait,10/19/2025 13:31,10/19/2025 13:31,0
1880344,Lotte Cinema Seoul,Solving,Major,Medium (Major),UP,Japan,Solving,Email Request,Projector,Auditorium Lighting Issue,Recalibrated System,APAC Issues,APAC,Market-Thailand,7/23/2025 13:31,7/24/2025 13:31,1
1880345,Pathe Massy,Under Review,Minor,Low (Minor),UP,Netherlands,Under Review,Email Request,Audio,Content Update Request,Pending Resolution,EMEA Dispatched,EMEA,Market-UK-CDS-VUK-CDS,10/23/2025 13:31,10/23/2025 13:31,0
1880346,KNCC Cinescape Avenues,Under Review,Critical,High (Critical),UP,Netherlands,Under Review,Email Request,Audio,Network Connectivity Issue,Firmware Updated,EMEA Dispatched,EMEA,Market-Saudi Arabia,11/11/2025 13:31,11/11/2025 13:31,0
1880347,Pathe Gaumont Rennes,Solving,Major,Medium (Major),UP,Netherlands,Solving,Email Request,Dolby Corridor,Hardware Issues,Adjusted Settings,Future Work,EMEA,Market-Netherlands-CN-CDS-VG,3/13/2025 13:31,3/13/2025 13:31,0
1880348,AMC Jersey Gardens 20 - 2198,Resolved,Major,Medium (Major),DOWN,OH,Resolved,Email Request,Projector,Booth Temperature Issue,Replaced Qalif,Customer Managed,Americas,Market-CA,9/14/2025 13:31,9/14/2025 13:31,0
1880349,AMC Lincoln Square 13 - 2310,Under Review,Major,High (Major),UP,TN,Under Review,Phone Call,Facility,Content Update Request,Replaced UPS Batteries,Customer Managed,Americas,Market-COLOH,2/12/2025 13:31,2/12/2025 13:31,0
1880350,Dolby Headquarters 1,Solving,Minor,Low (Minor),UP,TX,Solving,Email Request,Facility,NO IMAGE,Network Configuration Fixed,Customer Managed,Americas,Market-NSH,4/26/2025 13:31,4/27/2025 13:31,1
1880351,Vue London Leicester Square,Solving,Minor,Medium (Minor),UP,France,Solving,Email Request,Screen / Masking,TPC Display Issue,Pending Resolution,Future Work,EMEA,Market-Saudi Arabia,11/19/2025 13:31,11/19/2025 13:31,0
1880352,CGV Shanghai Fudi,Closed,Major,Medium (Major),UP,Singapore,Closed,Email Request,Screen / Masking,Network Connectivity Issue,Pending Resolution,APAC Issues,APAC,Market-China-CGV,4/25/2025 13:31,4/25/2025 13:31,0
1880353,Cinemark Playa Vista,Under Review,Minor,Medium (Minor),UP,KY,Under Review,Email Request,Screen / Masking,Color Calibration Required,Software Update Applied,CSE Dispatched,Americas,Market-NSH,8/28/2025 13:31,8/28/2025 13:31,0
1880354,Wanda Shanghai Darongcheng,Closed,Minor,Medium (Minor),UP,Japan,Closed,Web Support,Dolby Corridor,IMAGE GEOMETRY/ALIGNMENT ISSUE,Recalibrated System,APAC Dispatched,APAC,Market-Thailand,4/3/2025 13:31,4/3/2025 13:31,0
1880355,Lotte Cinema Seoul,Under Review,Minor,Medium (Minor),UP,Japan,Under Review,Web Support,Dolby Corridor,IMAGE GEOMETRY/ALIGNMENT ISSUE,Replaced Component,APAC Issues,APAC,Market-China-CGV,5/23/2025 13:31,5/23/2025 13:31,0
1880356,Vue London Leicester Square,Closed,Informational,Low (Minor),DOWN,Netherlands,Closed,Web Support,Qalif,Application Not Responding,Pending Resolution,Future Work,EMEA,Market-Germany,9/8/2025 13:31,9/8/2025 13:31,0
1880357,AMC Lincoln Square 13 - 2310,Solving,Minor,Medium (Minor),DOWN,CA,Solving,Email Request,Network,Auditorium Lighting Issue,Pending Resolution,CSE Dispatched,Americas,Market-LA,9/8/2025 13:31,9/8/2025 13:31,0
1880358,Pathe Massy,Under Review,Major,Medium (Major),UP,Germany,Under Review,Email Request,Facility,CAN NOT POWER-UP COMPONENT,Replaced Qalif,EMEA Dispatched,EMEA,Market-Germany,8/24/2025 13:31,8/24/2025 13:31,0
1880359,Odeon Leicester Square,Resolved,Major,High (Major),DOWN,France,Resolved,Email Request,Network,Laser Module Driver Warning,Adjusted Settings,EMEA Issues,EMEA,Market-Germany,9/6/2025 13:31,9/6/2025 13:31,0
1880360,AMC Staten Island Mall 11 - 0558,Closed,Major,Medium (Major),UP,CA,Closed,Email Request,Projector,Laser Module Driver Warning,Firmware Updated,Customer Managed,Americas,Market-NJ,8/21/2025 13:31,8/21/2025 13:31,0
1880361,AMC Empire 25 - 0552,Under Review,Major,High (Major),UP,NJ,Under Review,Email Request,Network,IMAGE GEOMETRY/ALIGNMENT ISSUE,Network Configuration Fixed,CSE Dispatched,Americas,Market-NSH,5/22/2025 13:31,5/23/2025 13:31,1
1880362,AMC Lincoln Square 13 - 2310,Resolved,Major,Medium (Major),UP,NY,Resolved,Email Request,Projector,Hardware Issues,Replaced Qalif,Customer Managed,Americas,Market-NSH,5/28/2025 13:31,5/29/2025 13:31,1
